date,chatbots_count,completions_count,translations_count,chatbots_chars_total,chatbots_tokens_total,chatbots_energy_kwh,chatbots_carbon_kgCO2e,completions_chars_total,completions_tokens_total,completions_energy_kwh,completions_carbon_kgCO2e,translations_chars_total,translations_tokens_total,translations_energy_kwh,translations_carbon_kgCO2e,genai_carbon_kgCO2e
2025-09-06,423,115,0,4166550,1041637,0.820479,0.38972752499999996,442750,110687,0.09886166666666667,0.04695929166666667,0,0,0.0,0.0,0.43668681666666664
2025-09-07,342,12,0,3368700,842175,0.6633659999999998,0.31509884999999993,46200,11550,0.010315999999999999,0.004900099999999999,0,0,0.0,0.0,0.31999894999999995
2025-09-08,2131,124,428,20990350,5247587,4.133429666666666,1.9633790916666665,477400,119350,0.10659866666666666,0.050634366666666666,2568000,642000,0.3295599999999999,0.15654099999999996,2.170554458333333
2025-09-09,2269,117,191,22349650,5587412,4.401103666666666,2.090524241666666,450450,112612,0.10058099999999999,0.047775975,1146000,286500,0.14706999999999998,0.06985824999999998,2.208158466666666
2025-09-10,2472,195,338,24349200,6087300,4.794855999999999,2.2775566,750750,187687,0.16763499999999998,0.07962662499999999,2028000,507000,0.26026,0.1236235,2.480806725
2025-09-11,2478,196,260,24408300,6102075,4.806494,2.2830846499999997,754600,188650,0.16849466666666665,0.08003496666666667,1560000,390000,0.2002,0.095095,2.4582146166666665
2025-09-12,2252,358,1,22182200,5545550,4.368129333333333,2.074861433333333,1378300,344575,0.3077606666666666,0.14618631666666665,6000,1500,0.0007699999999999999,0.0003657499999999999,2.2214134999999997
2025-09-13,459,29,0,4521150,1130287,0.8903069999999997,0.4228958249999999,111650,27912,0.02493033333333333,0.011841908333333331,0,0,0.0,0.0,0.4347377333333332
2025-09-14,332,35,0,3270200,817550,0.6439693333333332,0.30588543333333323,134750,33687,0.030088333333333328,0.01429195833333333,0,0,0.0,0.0,0.3201773916666666
2025-09-15,2170,140,31,21374500,5343625,4.209076666666666,1.9993114166666663,539000,134750,0.12035333333333331,0.05716783333333332,186000,46500,0.02387,0.01133825,2.0678175
2025-09-16,2457,217,94,24201450,6050362,4.7657609999999995,2.2637364749999995,835450,208862,0.18654766666666664,0.08861014166666666,564000,141000,0.07238,0.034380499999999994,2.386727116666666
2025-09-17,2860,240,195,28171000,7042750,5.547446666666667,2.6350371666666663,924000,231000,0.20631999999999998,0.09800199999999999,1170000,292500,0.15014999999999998,0.07132124999999999,2.8043604166666665
2025-09-18,2746,189,0,27048100,6762025,5.3263246666666655,2.5300042166666663,727650,181912,0.16247699999999995,0.07717657499999998,0,0,0.0,0.0,2.6071807916666665
2025-09-19,2348,204,249,23127800,5781950,4.554337333333333,2.163310233333333,785400,196350,0.17537199999999997,0.08330169999999998,1494000,373500,0.19172999999999998,0.09107174999999999,2.3376836833333328
2025-09-20,437,8,0,4304450,1076112,0.8476343333333333,0.40262630833333335,30800,7700,0.006877333333333333,0.003266733333333333,0,0,0.0,0.0,0.4058930416666667
2025-09-21,455,14,0,4481750,1120437,0.8825483333333333,0.4192104583333333,53900,13475,0.012035333333333332,0.005716783333333333,0,0,0.0,0.0,0.4249272416666666
2025-09-22,2482,210,16,24447700,6111925,4.8142526666666665,2.2867700166666665,808500,202125,0.18053,0.08575175,96000,24000,0.012319999999999998,0.005851999999999999,2.3783737666666664
2025-09-23,2446,146,45,24093100,6023275,4.744424666666665,2.253601716666666,562100,140525,0.12551133333333334,0.05961788333333333,270000,67500,0.03464999999999999,0.016458749999999998,2.3296783499999996
2025-09-24,2649,187,14,26092650,6523162,5.138177,2.4406340749999997,719950,179987,0.16075766666666666,0.07635989166666667,84000,21000,0.01078,0.0051205,2.5221144666666664
2025-09-25,2941,301,0,28968850,7242212,5.7045596666666665,2.7096658416666664,1158850,289712,0.2587596666666666,0.12291084166666665,0,0,0.0,0.0,2.832576683333333
2025-09-26,2189,230,36,21561650,5390412,4.245930333333333,2.0168169083333334,885500,221375,0.19772333333333333,0.09391858333333333,216000,54000,0.027719999999999998,0.013167,2.1239024916666667
2025-09-27,504,6,0,4964400,1241100,0.9775919999999999,0.46435619999999994,23100,5775,0.005157999999999999,0.0024500499999999996,0,0,0.0,0.0,0.4668062499999999
2025-09-28,358,41,0,3526300,881575,0.6944006666666667,0.3298403166666667,157850,39462,0.03524633333333333,0.016742008333333332,0,0,0.0,0.0,0.346582325
2025-09-29,2406,166,115,23699100,5924775,4.666837999999999,2.2167480499999996,639100,159775,0.14270466666666665,0.06778471666666665,690000,172500,0.08854999999999999,0.042061249999999994,2.3265940166666663
2025-09-30,2530,275,130,24920500,6230125,4.907356666666667,2.330994416666667,1058750,264687,0.23640833333333333,0.11229395833333333,780000,195000,0.1001,0.0475475,2.490835875
2025-10-01,2278,201,75,22438300,5609575,4.418560666666666,2.0988163166666665,773850,193462,0.172793,0.08207667499999999,450000,112500,0.057749999999999996,0.027431249999999997,2.2083242416666664
2025-10-02,1643,207,24,16183550,4045887,3.186872333333333,1.5137643583333331,796950,199237,0.177951,0.084526725,144000,36000,0.01848,0.008778000000000001,1.607069083333333
2025-10-03,2100,151,46,20685000,5171250,4.0733,1.9348174999999999,581350,145337,0.12980966666666666,0.061659591666666666,276000,69000,0.03542,0.0168245,2.0133015916666666
2025-10-04,403,136,0,3969550,992387,0.7816856666666665,0.37130069166666657,523600,130900,0.11691466666666665,0.05553446666666666,0,0,0.0,0.0,0.42683515833333324
2025-10-05,463,16,72,4560550,1140137,0.8980656666666667,0.42658119166666664,61600,15400,0.013754666666666667,0.006533466666666666,432000,108000,0.055439999999999996,0.026334,0.4594486583333333
2025-10-06,2559,305,39,25206150,6301537,4.963607,2.3577133249999997,1174250,293562,0.26219833333333326,0.1245442083333333,234000,58500,0.03003,0.014264250000000001,2.4965217833333333
2025-10-07,3011,151,125,29658350,7414587,5.840336333333332,2.7741597583333326,581350,145337,0.12980966666666666,0.061659591666666666,750000,187500,0.09624999999999999,0.045718749999999996,2.881538099999999
2025-10-08,3058,466,114,30121300,7530325,5.931500666666666,2.817462816666666,1794100,448525,0.4006046666666666,0.19028721666666665,684000,171000,0.08778000000000001,0.0416955,3.0494455333333326
2025-10-09,3189,237,399,31411650,7852912,6.185597,2.938158575,912450,228112,0.203741,0.096776975,2394000,598500,0.30723,0.14593425,3.1808698
2025-10-10,2886,272,167,28427100,7106775,5.597877999999999,2.6589920499999993,1047200,261800,0.2338293333333333,0.11106893333333331,1002000,250500,0.12858999999999998,0.061080249999999996,2.8311412333333323
2025-10-11,711,40,0,7003350,1750837,1.3791029999999997,0.655073925,154000,38500,0.03438666666666666,0.016333666666666666,0,0,0.0,0.0,0.6714075916666666
2025-10-12,629,17,94,6195650,1548912,1.2200503333333332,0.5795239083333333,65450,16362,0.014614333333333332,0.006941808333333332,564000,141000,0.07238,0.034380499999999994,0.6208462166666667
2025-10-13,2753,162,108,27117050,6779262,5.339902333333332,2.536453608333333,623700,155925,0.13926599999999997,0.06615135,648000,162000,0.08316,0.039500999999999994,2.642105958333333
2025-10-14,3559,198,228,35056150,8764037,6.903273666666667,3.279054991666667,762300,190575,0.170214,0.08085165000000001,1368000,342000,0.17556000000000002,0.083391,3.443297641666667
2025-10-15,3166,290,22,31185100,7796275,6.140984666666665,2.916967716666666,1116500,279125,0.2493033333333333,0.11841908333333331,132000,33000,0.01694,0.0080465,3.0434332999999993
2025-10-16,3238,404,76,31894300,7973575,6.280640666666666,2.983304316666666,1555400,388850,0.34730533333333335,0.16497003333333332,456000,114000,0.05851999999999999,0.027796999999999992,3.1760713499999995
2025-10-17,2630,191,43,25905500,6476375,5.101323333333333,2.4231285833333334,735350,183837,0.16419633333333333,0.07799325833333333,258000,64500,0.03311,0.015727249999999998,2.5168490916666664
2025-10-18,346,78,0,3408100,852025,0.6711246666666666,0.3187842166666666,300300,75075,0.06705399999999999,0.031850649999999994,0,0,0.0,0.0,0.3506348666666666
2025-10-19,403,95,0,3969550,992387,0.7816856666666665,0.37130069166666657,365750,91437,0.08166833333333332,0.03879245833333332,0,0,0.0,0.0,0.4100931499999999
2025-10-20,1627,246,22,16025950,4006487,3.1558376666666663,1.4990228916666666,947100,236775,0.211478,0.10045205,132000,33000,0.01694,0.0080465,1.6075214416666666
2025-10-21,2350,271,0,23147500,5786875,4.558216666666666,2.165152916666666,1043350,260837,0.2329696666666666,0.11066059166666663,0,0,0.0,0.0,2.2758135083333326
2025-10-22,2655,404,28,26151750,6537937,5.149814999999999,2.446162125,1555400,388850,0.34730533333333335,0.16497003333333332,168000,42000,0.02156,0.010241,2.6213731583333333
2025-10-23,3039,187,26,29934150,7483537,5.894647,2.799957325,719950,179987,0.16075766666666666,0.07635989166666667,156000,39000,0.020019999999999996,0.009509499999999997,2.8858267166666667
2025-10-24,2914,376,77,28702900,7175725,5.6521886666666665,2.6847896166666665,1447600,361900,0.3232346666666666,0.15353646666666665,462000,115500,0.059289999999999995,0.02816275,2.866488833333333
2025-10-25,501,36,0,4934850,1233712,0.971773,0.461592175,138600,34650,0.030947999999999996,0.014700299999999998,0,0,0.0,0.0,0.476292475
2025-10-26,655,75,0,6451750,1612937,1.2704816666666665,0.6034787916666665,288750,72187,0.06447499999999999,0.030625624999999997,0,0,0.0,0.0,0.6341044166666665
2025-10-27,3148,261,71,31007800,7751950,6.106070666666666,2.900383566666666,1004850,251212,0.224373,0.106577175,426000,106500,0.054669999999999996,0.02596825,3.032928991666666
2025-10-28,3490,286,49,34376500,8594125,6.7694366666666665,3.2154824166666667,1101100,275275,0.24586466666666662,0.11678571666666665,294000,73500,0.03773,0.01792175,3.3501898833333335
2025-10-29,3428,305,85,33765800,8441450,6.649177333333333,3.158359233333333,1174250,293562,0.26219833333333326,0.1245442083333333,510000,127500,0.06545,0.03108875,3.3139921916666664
2025-10-30,3543,390,24,34898550,8724637,6.8722389999999995,3.2643135249999995,1501500,375375,0.33526999999999996,0.15925324999999999,144000,36000,0.01848,0.008778000000000001,3.4323447749999993
2025-10-31,2776,296,21,27343600,6835900,5.384514666666665,2.557644466666666,1139600,284900,0.25446133333333326,0.1208691333333333,126000,31500,0.01617,0.00768075,2.686194349999999
2025-11-01,336,21,0,3309600,827400,0.651728,0.3095708,80850,20212,0.018052999999999996,0.008575174999999997,0,0,0.0,0.0,0.31814597499999997
2025-11-02,951,22,0,9367350,2341837,1.844623,0.876195925,84700,21175,0.018912666666666664,0.008983516666666665,0,0,0.0,0.0,0.8851794416666666
2025-11-03,2938,193,79,28939300,7234825,5.698740666666666,2.706901816666666,743050,185762,0.16591566666666666,0.07880994166666666,474000,118500,0.060829999999999995,0.028894249999999996,2.8146060083333326
2025-11-04,3405,326,237,33539250,8384812,6.604564999999999,3.137168375,1255100,313775,0.2802513333333333,0.1331193833333333,1422000,355500,0.18248999999999999,0.08668275,3.356970508333333
2025-11-05,3326,138,112,32761100,8190275,6.451331333333333,3.0643823833333332,531300,132825,0.11863399999999998,0.05635114999999999,672000,168000,0.08624,0.040964,3.1616975333333333
2025-11-06,3680,215,28,36248000,9062000,7.137973333333333,3.390537333333333,827750,206937,0.18482833333333332,0.08779345833333332,168000,42000,0.02156,0.010241,3.4885717916666668
2025-11-07,3466,160,103,34140100,8535025,6.722884666666665,3.1933702166666658,616000,154000,0.13754666666666665,0.06533466666666667,618000,154500,0.07930999999999999,0.03767225,3.2963771333333325
2025-11-08,665,13,0,6550250,1637562,1.2898783333333335,0.6126922083333334,50050,12512,0.011175666666666664,0.005308441666666665,0,0,0.0,0.0,0.61800065
2025-11-09,590,13,0,5811500,1452875,1.1444033333333332,0.5435915833333332,50050,12512,0.011175666666666664,0.005308441666666665,0,0,0.0,0.0,0.5489000249999999
2025-11-10,3256,368,90,32071600,8017900,6.315554666666665,2.9998884666666656,1416800,354200,0.3163573333333333,0.15026973333333332,540000,135000,0.06929999999999999,0.032917499999999995,3.183075699999999
2025-11-11,2971,226,49,29264350,7316087,5.762749666666666,2.7373060916666665,870100,217525,0.19428466666666663,0.09228521666666666,294000,73500,0.03773,0.01792175,2.8475130583333335
2025-11-12,3505,276,325,34524250,8631062,6.798531666666666,3.2293025416666663,1062600,265650,0.23726799999999995,0.11270229999999998,1950000,487500,0.25025,0.11886875,3.460873591666666
2025-11-13,3630,290,62,35755500,8938875,7.040989999999999,3.344470249999999,1116500,279125,0.2493033333333333,0.11841908333333331,372000,93000,0.04774,0.0226765,3.485565833333333
2025-11-14,3146,187,68,30988100,7747025,6.102191333333333,2.8985408833333333,719950,179987,0.16075766666666666,0.07635989166666667,408000,102000,0.05236,0.024870999999999997,2.999771775
2025-11-15,542,41,0,5338700,1334675,1.0512993333333331,0.49936718333333324,157850,39462,0.03524633333333333,0.016742008333333332,0,0,0.0,0.0,0.5161091916666666
2025-11-16,482,130,0,4747700,1186925,0.9349193333333332,0.4440866833333333,500500,125125,0.11175666666666666,0.05308441666666666,0,0,0.0,0.0,0.4971711
2025-11-17,3245,184,0,31963250,7990812,6.294218333333332,2.9897537083333328,708400,177100,0.15817866666666666,0.07513486666666666,0,0,0.0,0.0,3.0648885749999994
2025-11-18,3486,335,88,34337100,8584275,6.761677999999999,3.2117970499999995,1289750,322437,0.2879883333333333,0.1367944583333333,528000,132000,0.06776,0.032186,3.3807775083333325
2025-11-19,3531,321,115,34780350,8695087,6.848962999999999,3.2532574249999993,1235850,308962,0.27595299999999995,0.13107767499999998,690000,172500,0.08854999999999999,0.042061249999999994,3.426396349999999
2025-11-20,3622,602,198,35676700,8919175,7.025472666666666,3.337099516666666,2317700,579425,0.5175193333333332,0.2458216833333333,1188000,297000,0.15245999999999998,0.0724185,3.6553396999999994
2025-11-21,3128,772,99,30810800,7702700,6.067277333333332,2.881956733333333,2972200,743050,0.6636626666666666,0.31523976666666664,594000,148500,0.07622999999999999,0.03620925,3.2334057499999997
2025-11-22,457,118,0,4501450,1125362,0.8864276666666666,0.42105314166666663,454300,113575,0.10144066666666665,0.04818431666666666,0,0,0.0,0.0,0.4692374583333333
2025-11-23,496,60,0,4885600,1221400,0.9620746666666665,0.45698546666666656,231000,57750,0.051579999999999994,0.024500499999999998,0,0,0.0,0.0,0.48148596666666654
2025-11-24,3119,732,54,30722150,7680537,6.049820333333333,2.873664658333333,2818200,704550,0.629276,0.2989061,324000,81000,0.04158,0.019750499999999997,3.1923212583333327
2025-11-25,3342,939,35,32918700,8229675,6.482365999999998,3.079123849999999,3615150,903787,0.8072269999999998,0.3834328249999999,210000,52500,0.026949999999999995,0.012801249999999998,3.4753579249999986
2025-11-26,3345,1074,138,32948250,8237062,6.488184999999999,3.0818878749999996,4134900,1033725,0.9232819999999998,0.43855894999999995,828000,207000,0.10626000000000001,0.050473500000000004,3.5709203249999995
2025-11-27,3008,635,25,29628800,7407200,5.834517333333332,2.7713957333333323,2444750,611187,0.5458883333333333,0.25929695833333327,150000,37500,0.01925,0.00914375,3.0398364416666652
2025-11-28,2478,608,236,24408300,6102075,4.806494,2.2830846499999997,2340800,585200,0.5226773333333333,0.24827173333333336,1416000,354000,0.18172,0.08631699999999999,2.6176733833333334
2025-11-29,533,33,0,5250050,1312512,1.0338423333333333,0.49107510833333334,127050,31762,0.028369,0.013475275,0,0,0.0,0.0,0.5045503833333334
2025-11-30,583,63,0,5742550,1435637,1.1308256666666665,0.5371421916666665,242550,60637,0.054159,0.025725525000000003,0,0,0.0,0.0,0.5628677166666666
2025-12-01,2294,529,20,22595900,5648975,4.449595333333333,2.113557783333333,2036650,509162,0.4547636666666666,0.21601274166666665,120000,30000,0.0154,0.007315,2.336885525
